name,category,sub_category,website,description,february,april,may,average_time_on_website,may_normalized,change_normalized,average_time_normalized,tts,popularity,growth,engagement
Synthesia,Content Creation,Video Generator,https://synthesia.io,"create ai videos by simply typing in text. easy to use, cheap and scalable. make engaging videos with human presenters — directly from your browser. free demo.",4645434.000,4303774.000,4045020.000,204.539,0.887,0.404,0.677,7.547,8.870,4.040,6.770
Kaedim,Design,3D,https://www.kaedim3d.com,"kaedim is your own personal 3d artist. use any basic image to create a textured, production-ready 3d model.",131539.000,242994.000,356094.000,282.554,0.672,0.942,0.806,7.526,6.720,9.420,8.060
Aiva,Entertainment,Music,https://aiva.ai,"aiva, the artificial intelligence music composer that creates original & personalized music for your projects.",951075.000,869072.000,805499.000,298.400,0.761,0.376,0.831,7.505,7.610,3.760,8.310
Paraphraser,Coding,Paraphraser,https://paraphrasetool.com,"paraphrase tool with 15 free modes for 100+ languages - rephrases sentences, rewords paragraphs, rewrites essays, checks grammar and eliminates plagiarism",1105726.000,840226.000,891489.000,298.396,0.771,0.331,0.829,7.502,7.710,3.310,8.290
TutorAI,Customer Support,Education Assistant,https://tutorai.me,"learn about anything, instantly",791630.000,963799.000,950976.000,226.601,0.779,0.705,0.721,7.484,7.790,7.050,7.210
RestorePhotos,Content Creation,Image Editing,https://restorephotos.io,restore your old face photos and keep the memories alive.,964233.000,699500.000,778059.000,309.644,0.751,0.333,0.842,7.456,7.510,3.330,8.420
Nijijourney,Design,Image Generator,https://nijijourney.com,let's make magic anime pictures,266226.000,561993.000,446994.000,253.442,0.703,0.859,0.769,7.450,7.030,8.590,7.690
Anyword,Content Creation,Copywriting,https://anyword.com,anyword’s ai writing generator creates effective copy for anyone. take the guesswork out of your marketing text with an ai copywriting tool that converts.,620892.000,467722.000,459886.000,392.561,0.706,0.268,0.912,7.446,7.060,2.680,9.120
Everypixel,Customer Support,Search Engine,https://everypixel.com,stock image finder for all who hate bad stock photos. use it to find the best licensed images for the lowest price. more than 50 image sources.,440055.000,510367.000,691598.000,225.855,0.746,0.834,0.718,7.436,7.460,8.340,7.180
Podcastle,Content Creation,Audio Editing,https://podcastle.ai,"podcastle is the simplest way to create professional-quality podcasts. record, edit, transcribe, and export your content with the power of ai, in an intuitive web-based platform.",739891.000,651147.000,868930.000,227.098,0.768,0.687,0.723,7.419,7.680,6.870,7.230
Predis,Marketing,Social Media Assistant,https://predis.ai,predis is an ai marketing tool for social media helping businesses make captivating     video and image content and get ai-powered content analysis.,2246564.000,1689434.000,984558.000,320.700,0.781,0.097,0.854,7.418,7.810,0.970,8.540
AI. Image Enlarger,Content Creation,Image Editing,https://imglarger.com,ai image enlarger is a free online image enlarger that could upscale and enhance small images automatically. make jpg/png pictures big without losing quality.,3364085.000,3473111.000,3512743.000,174.207,0.881,0.576,0.609,7.417,8.810,5.760,6.090
Merlin,Productivity,Productivity,https://merlin.foyer.work,"chatgpt powered search extension, by foyer",1200590.000,1766486.000,4567436.000,124.634,0.902,0.972,0.483,7.414,9.020,9.720,4.830
Free Subtitles AI,Customer Support,Transcriber,https://freesubtitles.ai,The website provides a free AI service that transcribes audio and video files into text. It also offers a paid service that provides more accurate transcriptions and translations into different languages.,78090.000,100582.000,208162.000,300.515,0.625,0.940,0.836,7.409,6.250,9.400,8.360
Colossyan,Content Creation,Video Generator,https://colossyan.com,colossyan creator makes video creation simple and stress-free. discover our ai video creator with real actors. create videos in less than 5 minutes. start for free here.,297803.000,282775.000,351654.000,303.952,0.670,0.689,0.841,7.403,6.700,6.890,8.410
Wonder Dynamics,Content Creation,Video Generator,https://wonderdynamics.com,"The website provides an AI service that automatically animates, lights and composes CG characters into a live-action scene.",766681.000,1075430.000,1303780.000,182.513,0.808,0.862,0.622,7.390,8.080,8.620,6.220
Poly,Design,3D,https://withpoly.com,"poly lets you generate design assets for free in seconds using advanced a.i. create seamless 3d textures, graphics, and more!",172184.000,317210.000,349271.000,262.285,0.668,0.900,0.784,7.376,6.680,9.000,7.840
Plask,Design,3D,https://plask.ai,"plask is an all-in-one browser-based ai motion capture tool and animation editor that anybody can use, from motion designers to every day content creators.",90587.000,282942.000,173813.000,325.278,0.602,0.890,0.864,7.356,6.020,8.900,8.640
Boomy,Entertainment,Music,https://boomy.com,The website provides a service that uses artificial intelligence to generate music.,844449.000,856232.000,948376.000,214.776,0.778,0.646,0.705,7.356,7.780,6.460,7.050
Glean,Productivity,Productivity,https://glean.com,glean is the work assistant and enterprise search solution for today’s teams. search across all your company's apps to find what you need and discover what you should know.,259199.000,261001.000,298864.000,309.723,0.662,0.669,0.844,7.355,6.620,6.690,8.440
ArtHub,Design,Art,https://arthub.ai,"arthub.ai is a creative community for showcasing, discovering and creating ai generated art.",317869.000,454997.000,445789.000,248.579,0.701,0.777,0.766,7.346,7.010,7.770,7.660
Jenni,Marketing,SEO,https://jenni.ai,"jenni is the ai assistant that keeps you in the driver's seat. jenni works with you as you write, and once you write with jenni you can never go back.",1372799.000,1471441.000,1095567.000,246.274,0.796,0.324,0.760,7.344,7.960,3.240,7.600
Resume Worded,Productivity,Life Assistant,https://resumeworded.com,our online resume and linkedin grader instantly scores your resume and linkedin profile and gives you detailed feedback on how to get more opportunities and interviews.,2430542.000,1956164.000,2070236.000,203.400,0.851,0.381,0.673,7.328,8.510,3.810,6.730
Wordhero,Marketing,SEO,https://wordhero.co,"wordhero is the #1 ai writing software tool for business owners, marketers, and writers. our ai-powered writer & assistant helps you write better, faster.",321361.000,408063.000,371903.000,289.698,0.675,0.677,0.816,7.316,6.750,6.770,8.160
Adcreative.ai,Content Creation,Copywriting,https://adcreative.ai,artificial intelligence powered ad creative and banner generator for better conversion rates.,1332695.000,1311513.000,1435661.000,194.636,0.818,0.604,0.653,7.306,8.180,6.040,6.530
Brandmark,Design,Logo Generator,https://brandmark.io,"create a unique logo, business card and social media graphics in less than a minute. build your brand identity with our generative ai.",1598956.000,1773564.000,1545973.000,200.751,0.823,0.507,0.670,7.302,8.230,5.070,6.700
Tavus,Productivity,Personalized Videos,https://tavus.io,"The website provides a video personalization platform that uses AI to automatically generate custom videos for each customer. The platform can be used to create sales and marketing videos, customer success videos, recruiting videos, real estate videos, and more.",80096.000,221468.000,123378.000,395.045,0.562,0.822,0.914,7.288,5.620,8.220,9.140
Let's Enhance,Content Creation,Image Editing,https://letsenhance.io,"ai software to enhance and upscale pictures. increase resolution and quality. fix blurry, pixelated and bad images. make every photo sharp and clear.",2285730.000,2326595.000,2611705.000,162.671,0.862,0.661,0.577,7.279,8.620,6.610,5.770
Quizgecko,Customer Support,Education Assistant,https://quizgecko.com,"generate a quiz from text in seconds, using ai. enter any piece of text or a url to create uniquequestions andanswers.",137021.000,879363.000,372904.000,233.546,0.677,0.943,0.736,7.272,6.770,9.430,7.360
Casetext,Industry-specific,Legal Assistant,https://casetext.com,"casetext is an award-winning legal ai company developing cutting-edge tech for 10+ years—including cocounsel, the first ai legal assistant.",4955301.000,4794842.000,5160489.000,141.884,0.919,0.571,0.526,7.270,9.190,5.710,5.260
Teleporthq,Coding,Low-code/no-code,https://teleporthq.io,"front-end development platform, with a visual builder and headless content modelling capabilities. static website creation, and ui development tools.",312332.000,257919.000,263906.000,387.151,0.652,0.373,0.909,7.269,6.520,3.730,9.090
fireflies.ai,Customer Support,Transcriber,https://fireflies.ai,"fireflies uses generative ai to bring chatgpt to meetings. generate transcripts and smart summaries for zoom, google meet, microsoft teams, webex and several other platforms.",1224123.000,1192538.000,1389978.000,188.863,0.813,0.652,0.637,7.265,8.130,6.520,6.370
Munch,Content Creation,Video Editing,https://getmunch.com,munch allows you to create once. repurpose to dozens of pieces on every platform. analyze engagement. control monetization. all on one platform.,152621.000,263499.000,249416.000,263.838,0.650,0.852,0.788,7.254,6.500,8.520,7.880
Supermeme.ai,Productivity,Fun Tools,https://supermeme.ai,supermeme.ai is an ai-powered meme generator that can turn any text into a meme. generate memes from any topic. free trial. no credit card required.,313778.000,503111.000,496830.000,221.029,0.710,0.839,0.711,7.233,7.100,8.390,7.110
Copymatic,Marketing,SEO,https://copymatic.ai,"copymatic is a powerful ai-powered copywriter and content writer that lets you write digital ads, website copy or blog content, and more in seconds.",1049578.000,915673.000,385518.000,454.071,0.680,0.072,0.937,7.220,6.800,0.720,9.370
Altered,Content Creation,Audio Editing,https://www.altered.ai,altered studio's unique technology allows you to change your voice to any of its carefully curated ai voices to create compelling professional voice-driven performances.,108694.000,203362.000,191788.000,288.465,0.615,0.872,0.814,7.203,6.150,8.720,8.140
Audio Strip,Content Creation,Audio Editing,https://www.audiostrip.co.uk/,remove or isolate vocals from any song for free! using ai and deep learning,177277.000,103165.000,153646.000,534.059,0.587,0.401,0.965,7.196,5.870,4.010,9.650
InteriorAI,Industry-specific,Real Estate,https://interiorai.com,get interior design ideas using artificial intelligence and virtually stage interiors for real estate listings with different interior styles.,968154.000,1236000.000,1068967.000,192.897,0.793,0.622,0.652,7.195,7.930,6.220,6.520
Audioread,Productivity,Text To Speech,https://audioread.com,"listen to any article, pdf, email, etc. in your podcast app, our mobile app, or the browser. audible-like voice. make reading as easy as putting in your airpods. try audioread for free.",13125.000,22055.000,149134.000,285.502,0.582,0.998,0.808,7.140,5.820,9.980,8.080
Stable Diffusion,Design,Image Generator,https://stability.ai,ai by the people for the people. we are building the foundation to activate humanity's potential.,3384454.000,3839383.000,3897641.000,134.706,0.886,0.667,0.509,7.133,8.860,6.670,5.090
Summarize Tech,Content Creation,Summarizer,https://summarize.tech,The website provides a service that uses AI to automatically generate summaries of long videos. This can be useful for getting a quick overview of a video without having to watch the entire thing.,1071605.000,1667509.000,937961.000,217.698,0.776,0.411,0.708,7.123,7.760,4.110,7.080
Rationale,Industry-specific,Startup,https://rationale.jina.ai,"see two sides of the coin, make rational decisions. use gpt and in-context learning to analyze pros & cons, cost-benefit, swot, multi-option, and outcomes. rationale helps you make well-rounded decisions.",279795.000,325171.000,217643.000,388.700,0.633,0.298,0.910,7.103,6.330,2.980,9.100
Writer,Marketing,SEO,https://writer.com,world-class companies trust writer to unlock the power of generative ai across every team. find out how.,6184190.000,5477088.000,5808031.000,131.950,0.922,0.476,0.502,7.094,9.220,4.760,5.020
Beatoven.ai,Entertainment,Music,https://beatoven.ai,beatoven.ai uses advanced ai music generation techniques to generate unique mood-based music to suit every part of your video.,1217930.000,784459.000,796337.000,256.811,0.755,0.218,0.774,7.089,7.550,2.180,7.740
Browse AI,Coding,Low-code/no-code,https://browse.ai,monitor any webpage for changes. download any data on the web as a spreadsheet. turn any website into an api.,733183.000,713548.000,803965.000,198.709,0.760,0.619,0.662,7.067,7.600,6.190,6.620
Supernormal,Productivity,Productivity,https://supernormal.com,"supernormal ai automatically transcribes and writes the meeting notes for google meet. save five to ten minutes every meeting. instantly shareable  to google drive, notion, quip, slack, hubspot, salesforce and more.",244020.000,246763.000,216332.000,330.392,0.630,0.421,0.872,7.059,6.300,4.210,8.720
Descript,Productivity,Text To Speech,https://descript.com,"there are simple podcast & video editors and there are powerful ones. only descript is both & it features magical ai, so you can skip the hard part of editing. get started for free.",2561775.000,2537399.000,2631606.000,147.117,0.866,0.564,0.537,7.042,8.660,5.640,5.370
Caktus,Productivity,Life Assistant,https://caktus.ai,caktus is the first ever educational artificial intelligence tool. it allows you to automate all of your school work so you can spend more time doing the things you love!,2286214.000,2077674.000,1846682.000,183.966,0.836,0.334,0.629,7.030,8.360,3.340,6.290
Astria,Content Creation,Video Generator,https://astria.ai,create custom images using ai,163108.000,128276.000,147893.000,407.617,0.580,0.444,0.920,7.024,5.800,4.440,9.200
Spinrewriter,Marketing,SEO,https://spinrewriter.com,"spin rewriter is the world's most popular article rewriter. our text paraphrasing ai will rewrite your articles into top-quality, unique articles.",118570.000,130422.000,157642.000,296.958,0.589,0.762,0.828,7.019,5.890,7.620,8.280
Fy! Studio,Design,Art,https://www.iamfy.co/studio,"fy is the home of the world's best emerging brands. unique homeware, wall art, furniture and accessories. shop your heart out.",426389.000,399357.000,505285.000,208.573,0.711,0.694,0.690,7.009,7.110,6.940,6.900
Lex,Content Creation,General Writing,https://lex.page,"link/

The website provides a service that helps users to improve their writing skills. It uses artificial intelligence to analyze a user's writing and provide feedback on how to improve it.",535850.000,335513.000,347131.000,323.683,0.667,0.211,0.861,6.990,6.670,2.110,8.610
StockImg AI,Design,Design Assistant,https://stockimg.ai/,Stockimg AI is a website that provides a service that allows users to upload images and videos and then receive automated image analysis.,1068962.000,1575005.000,1198700.000,163.849,0.803,0.642,0.582,6.985,8.030,6.420,5.820
CodeAssist,Coding,Code Assistant,https://plugins.jetbrains.com/plugin/20085-codeassist,explore plugins for jetbrains products,1390910.000,1342968.000,1237974.000,182.749,0.804,0.426,0.625,6.946,8.040,4.260,6.250
BlackBox AI,Coding,Code Assistant,https://www.useblackbox.io/,The AI service provided by the website is a code search engine that helps developers find the best code snippets to use while building products.,5174928.000,5302098.000,4430416.000,136.939,0.899,0.386,0.516,6.945,8.990,3.860,5.160
Talk To Books,Coding,Experiments,https://books.google.com,The website at https://books.google.com provides a search engine for books.,34385663.000,33947050.000,34413595.000,93.444,0.967,0.549,0.383,6.916,9.670,5.490,3.830
Neural.love Art Generator,Design,Art,https://neural.love,"use ai image generator for free or ai enhance, or access millions of public domain images | ai enhance & easy-to-use online ai tools",3241086.000,3617568.000,3588382.000,116.306,0.882,0.626,0.461,6.880,8.820,6.260,4.610
Cheat Layer,Coding,Code Assistant,https://cheatlayer.com/,salebase.ai template,28520.000,65584.000,95274.000,276.964,0.539,0.962,0.803,6.869,5.390,9.620,8.030
Clippy AI,Coding,Code Assistant,https://marketplace.visualstudio.com/items?itemName=clippy-ai,"one place for all extensions for visual studio, azure devops services, azure devops server and visual studio code. discover and install extensions and subscriptions to create the dev environment you need.",5481212.000,4919722.000,4940236.000,117.237,0.914,0.438,0.464,6.864,9.140,4.380,4.640
Maverick,Coding,Code Assistant,https://marketplace.visualstudio.com/items?itemName=YurtsAI.maverick&,"one place for all extensions for visual studio, azure devops services, azure devops server and visual studio code. discover and install extensions and subscriptions to create the dev environment you need.",5481212.000,4919722.000,4940236.000,117.237,0.914,0.438,0.464,6.864,9.140,4.380,4.640
Mubert,Entertainment,Music,https://mubert.com,"mubert - the new royalty-free music ecosystem for content creators, brands and developers 🔥 come see how our high-quality music can elevate your content ⏩",791359.000,747847.000,690040.000,205.155,0.745,0.406,0.680,6.851,7.450,4.060,6.800
Replika,Productivity,Life Assistant,https://replika.com,always here to listen and talk. always on your side. join the millions growing with their ai friends now!,2546468.000,2169730.000,1558782.000,188.372,0.824,0.188,0.635,6.848,8.240,1.880,6.350
Easy-Peasy.AI,Content Creation,Copywriting,https://easy-peasy.ai/,easy-peasy.ai will save you time and help you produce amazing content quickly and easily.,364570.000,392819.000,534684.000,175.387,0.718,0.800,0.610,6.830,7.180,8.000,6.100
Codeium,Coding,Code Assistant,https://www.codeium.com/,roland w-30 sampler & jv synthesiser software utilities,494117.000,691684.000,638844.000,167.168,0.738,0.754,0.595,6.824,7.380,7.540,5.950
Mutiny,Coding,Low-code/no-code,https://mutinyhq.com,"mutiny is a no-code ai platform that helps marketers convert their top of funnel demand into revenue, without engineers.",86624.000,62711.000,77371.000,550.484,0.502,0.431,0.970,6.821,5.020,4.310,9.700
AI Room Planner,Industry-specific,Real Estate,https://airoomplanner.com,,89382.000,166551.000,280975.000,189.427,0.657,0.955,0.640,6.800,6.570,9.550,6.400
Topaz Video AI,Content Creation,Video Editing,https://topazlabs.com,"photo and video enhancement software powered by deep learning gets you the best image quality available for noise reduction, sharpening, upscaling, and more.",2021912.000,2043782.000,1982391.000,135.822,0.842,0.526,0.511,6.780,8.420,5.260,5.110
Topaz Photo AI,Content Creation,Image Editing,https://topazlabs.com,"photo and video enhancement software powered by deep learning gets you the best image quality available for noise reduction, sharpening, upscaling, and more.",2021912.000,2043782.000,1982391.000,135.822,0.842,0.526,0.511,6.780,8.420,5.260,5.110
Scalenut,Marketing,SEO,https://scalenut.com,scalenut is a content intelligence saas platform that helps you discover and create the most relevant content for your customers. it uses deep learning and ai to create the best content possible.,455566.000,357771.000,377779.000,245.000,0.678,0.349,0.755,6.759,6.780,3.490,7.550
Craiyon,Design,Image Generator,https://craiyon.com,"craiyon, formerly dall-e mini, is an ai model that can draw images from any text prompt!",2146634.000,2488151.000,2405027.000,113.461,0.859,0.641,0.451,6.740,8.590,6.410,4.510
Songtell,Entertainment,Music,https://songtell.com,find the meaning of any song in the blink of an eye,1344652.000,1658189.000,2256759.000,96.022,0.856,0.857,0.395,6.717,8.560,8.570,3.950
Hourone,Content Creation,Video Generator,https://hourone.ai,"welcome to hour one, the world's fastest-growing ai video maker. we turn text into video to make learning & development more fun & effective. try now!",152110.000,149847.000,152149.000,285.607,0.585,0.547,0.809,6.708,5.850,5.470,8.090
Ready Player Me,Design,Avatars,https://readyplayer.me/,create a full-body 3d avatar with a selfie and use it in the metaverse. developer? integrate our avatar platform into your app or game.,1202675.000,1361725.000,1375001.000,128.869,0.811,0.662,0.494,6.693,8.110,6.620,4.940
Krisp,Productivity,Productivity,https://krisp.ai,krisp cancels background noise and reduces echo during your calls. get started with krisp today and enjoy effective online meetings.,1384219.000,1142246.000,1031533.000,180.612,0.788,0.271,0.617,6.679,7.880,2.710,6.170
Dreamlike.art,Design,Art,https://dreamlike.art,ai art creation suite,1040511.000,923441.000,636731.000,212.365,0.736,0.185,0.698,6.657,7.360,1.850,6.980
Riffusion,Entertainment,Music,https://riffusion.com,"Riffusion is a website that provides a number of AI services, including a machine learning platform, a natural language processing platform, and a number of other AI-related services.",989885.000,439520.000,318686.000,292.337,0.663,0.057,0.819,6.648,6.630,0.570,8.190
Creator AI,Content Creation,Copywriting,https://www.creaitor.ai/,the ai writing tool that will help you take your writing to the next level!,431798.000,239299.000,120040.000,485.372,0.559,0.040,0.950,6.635,5.590,0.400,9.500
WordAI,Content Creation,General Writing,https://wordai.com,The WordAi website provides a service that uses artificial intelligence to rewrite text. The service is designed to improve the quality of writing and to make it more readable.,731505.000,1355274.000,1050792.000,118.403,0.791,0.790,0.468,6.617,7.910,7.900,4.680
Wellsaidlabs,Productivity,Text To Speech,https://wellsaidlabs.com,beautiful voices at your fingertips with text-to-speech that captivates. reduce costs and streamline the voice production process.,471583.000,356428.000,418160.000,204.100,0.698,0.423,0.675,6.613,6.980,4.230,6.750
Socratic by Google,Industry-specific,Research,https://socratic.org,"take a photo of your homework question and get answers, math solvers, explanations, and videos. works for math, science, history, english, and more.",6700460.000,6435835.000,6406923.000,85.499,0.930,0.499,0.365,6.609,9.300,4.990,3.650
Contenda,Marketing,Social Media Assistant,https://contenda.co,repurpose your technical content better and faster than an agency using generative ai.,17264.000,22632.000,34823.000,684.574,0.353,0.899,0.983,6.596,3.530,8.990,9.830
LongShot,Marketing,SEO,https://longShot.ai,The website provides a service that uses artificial intelligence to generate factually accurate blogs in minutes.,142605.000,140640.000,158833.000,241.478,0.590,0.636,0.750,6.586,5.900,6.360,7.500
Public Prompts,Marketing,Prompts,https://publicprompts.art,"The website provides a collection of high quality, public prompts for use with the Stable Diffusion AI. The prompts are varied and include everything from cute stuffed animals to rendered objects. The aim of the website is to support the team at CompVis and Stability AI by providing public tools and knowledge.",177628.000,201882.000,213138.000,206.650,0.627,0.704,0.682,6.567,6.270,7.040,6.820
Once Upon A Bot,Content Creation,Story Teller,https://onceuponabot.com,create stories with ai,93768.000,46444.000,63385.000,767.616,0.473,0.223,0.992,6.556,4.730,2.230,9.920
Steno,Customer Support,Search Engine,https://steno.ai,"discover, reference, and read along as you listen.",82841.000,139147.000,119907.000,237.519,0.557,0.794,0.741,6.543,5.570,7.940,7.410
Teachable Machine,Coding,Low-code/no-code,https://teachablemachine.withgoogle.com,"train a computer to recognize your own images, sounds, & poses.                a fast, easy way to create machine learning models for your sites, apps, and more – no expertise or coding required.",310247.000,283148.000,323394.000,198.277,0.665,0.572,0.658,6.529,6.650,5.720,6.580
Type Studio,Content Creation,Video Editing,https://typestudio.co,"type studio is a text-based video editor. instead of editing in the classic video timeline, you simply edit your video by editing the transcribed text.",596524.000,205858.000,178772.000,324.443,0.605,0.045,0.862,6.518,6.050,0.450,8.620
Resemble,Productivity,Text To Speech,https://resemble.ai,use resemble's ai voice generator to clone your voice for free! create ai voices that sound real with resemble's real-time speech-to-speech software.,1757591.000,1453981.000,1877100.000,109.639,0.837,0.601,0.431,6.510,8.370,6.010,4.310
WiziShop,Content Creation,Copywriting,https://wizishop.com/ai,create an ecommerce website and start selling your products online. 15-day free trial. no credit card required.,52759.000,58066.000,57143.000,384.500,0.453,0.611,0.904,6.492,4.530,6.110,9.040
SlidesAI,Productivity,Productivity,https://slidesai.io,The website provides a presentation creation service that uses AI to generate slides from text.,1014123.000,1431920.000,1087623.000,124.110,0.794,0.602,0.479,6.488,7.940,6.020,4.790
Rewind AI,Management,Memory,https://rewind.ai,"the search engine for your life. find anything you've seen, said, or heard.",369856.000,433169.000,371309.000,187.115,0.673,0.551,0.633,6.448,6.730,5.510,6.330
FeedHive,Marketing,Social Media Assistant,https://feedhive.com,"create, publish, and easily manage your social media content at scale with feedhive's ai-powered platform",364994.000,241875.000,219039.000,254.665,0.635,0.178,0.773,6.445,6.350,1.780,7.730
3D Creation ,Design,3D,https://3dpresso.ai/,The website provides an AI service that can be used to create 3D models from images.,25831.000,88497.000,60948.000,269.417,0.468,0.922,0.794,6.438,4.680,9.220,7.940
ArticleForge,Marketing,SEO,https://articleforge.com,"an ai content generator that automatically produces complete high-quality, unique, seo-friendly articles in a single click.",183890.000,161251.000,140210.000,287.517,0.575,0.285,0.813,6.412,5.750,2.850,8.130
Scale,Productivity,Productivity,https://scale.com,"trusted by world class companies, scale delivers high quality training data for ai applications such as self-driving cars, mapping, ar/vr, robotics, and more.",587631.000,483363.000,540636.000,158.856,0.723,0.454,0.569,6.345,7.230,4.540,5.690
Sheet+,Management,Spreadsheets,https://sheetplus.ai,The website provides an AI-powered formula generator and formula explainer. The formula generator can convert text to accurate Excel formulas and Google Sheets formulas within seconds. The formula explainer can provide step-by-step explanations for any Excel or Google Sheets formula.,55273.000,251397.000,216487.000,152.932,0.632,0.973,0.552,6.341,6.320,9.730,5.520
Digirama,Design,Avatars,https://apps.apple.com/us/app/character-creator-digirama/id6444673721,"discover the innovative world of apple and shop everything iphone, ipad, apple watch, mac, and apple tv, plus explore accessories, entertainment, and expert device support.",120224176.000,110290026.000,115972581.000,52.893,0.977,0.504,0.234,6.325,9.770,5.040,2.340
Compose,Content Creation,General Writing,https://compose.ai,compose is a free chrome extension that lets you automate your writing using ai. we shouldn't be spending 40% of our time typing every day: it's time to change the game.,792288.000,858906.000,989831.000,106.766,0.783,0.734,0.418,6.321,7.830,7.340,4.180
Tome,Industry-specific,Startup,https://beta.tome.app,"unlock your best work with tome's ai-powered storytelling format. type in a prompt and generate entire narratives from scratch within seconds, supported by gpt-3 and ai-generated images from dall·e 2.",6766096.000,6958689.000,2993160.000,116.397,0.874,0.098,0.463,6.320,8.740,0.980,4.630
VWO,Coding,Low-code/no-code,https://vwo.com,vwo is the market-leading a/b testing tool that fast-growing companies use for experimentation & conversion rate optimization.,484096.000,356923.000,401647.000,186.100,0.685,0.351,0.632,6.304,6.850,3.510,6.320
Unbound,Content Creation,Copywriting,https://www.unboundcontent.ai,"do creative better, faster",74544.000,70213.000,68733.000,319.217,0.489,0.459,0.847,6.292,4.890,4.590,8.470
Validator AI,Industry-specific,Startup,https://validatorai.com,ai validation for any business idea.,278065.000,257416.000,221043.000,208.033,0.637,0.321,0.687,6.254,6.370,3.210,6.870
Zevi.ai,Coding,Low-code/no-code,https://zevi.ai,"zevi's ai-powered site search and discovery platform helps customers discover products quickly, boosting sales & conversions. get a site search solution tailored to your needs.",30302.000,37118.000,35234.000,464.895,0.357,0.684,0.940,6.229,3.570,6.840,9.400
Lavender,Marketing,Sales,https://lavender.ai,"lavender helps thousands of sellers around the world write better emails faster, getting them more positive replies in less time. rated 4.9/5 on g2.",190344.000,230345.000,175023.000,206.700,0.604,0.451,0.683,6.203,6.040,4.510,6.830
Patterned AI,Design,Design Assistant,http://patterned.ai/,generate seamless patterns with ai! make your own unique pattern or search royalty-free stock images & download for free!,186830.000,123901.000,91644.000,322.222,0.527,0.123,0.859,6.194,5.270,1.230,8.590
Brancher AI,Coding,Low-code/no-code,https://brancher.ai,our platform allows users to create and share custom single-purpose apps without coding knowledge. our goal is to make ai accessible to the masses and promote harmony between humans and ai through a simple and user-friendly interface.,361605.000,435894.000,539285.000,111.917,0.720,0.810,0.444,6.186,7.200,8.100,4.440
AskCodi,Coding,Code Assistant,https://www.askcodi.com,"askcodi simplifies your development process by giving you the power to create prototypes and applications faster, helping you scale their impact.",102958.000,158073.000,239829.000,134.084,0.645,0.918,0.507,6.171,6.450,9.180,5.070
DeepMotion,Design,3D,https://www.deepmotion.com/,generate 3d animations from video in seconds through any web browser. ai powered motion capture and real time body tracking that's easy to use. get started for free!,682361.000,597259.000,430525.000,176.416,0.700,0.195,0.614,6.151,7.000,1.950,6.140
Krea,Customer Support,Search Engine,https://krea.ai,explore millions of ai generated images and create collections of prompts.,383653.000,254580.000,199397.000,227.281,0.622,0.138,0.725,6.148,6.220,1.380,7.250
nichess,Content Creation,General Writing,https://nichesss.com,ready to start generating content in seconds? nichesss has got you covered. 💪,302065.000,256394.000,277815.000,169.749,0.655,0.453,0.604,6.144,6.550,4.530,6.040
Luna,Marketing,Email Assistant,https://getluna.dev,access millions of leads and personalize cold emails instantly with luna. the ai technology which founders and sdrs love for winning deals.,29988.000,30549.000,43434.000,296.775,0.408,0.795,0.824,6.131,4.080,7.950,8.240
Waymark,Content Creation,Video Generator,https://waymark.com,waymark’s ai video creator makes it so fast and easy to create compelling sample commercials that you can walk into any and every prospect meeting with spec creative.,657385.000,378627.000,409280.000,179.711,0.693,0.193,0.615,6.118,6.930,1.930,6.150
Botowski,Content Creation,Copywriting,https://www.botowski.com/,"ai content generator that creates content for businesses and people who aren't professional writers. it offers a diverse range of automatic content generation tools, from catchy slogans for branding purposes to email templates or blog content.",93492.000,96224.000,60853.000,354.583,0.466,0.216,0.892,6.114,4.660,2.160,8.920
Build AI,Coding,Low-code/no-code,https://buildai.space,"The website provides a service that allows users to create their own AI-powered web apps. users simply need to describe what they want the AI to do for their business, and the website will generate a custom app for them. There is no need for any technical skills, and users can test and tune the app as needed. Once they are satisfied, they can share the app with others or use it internally.",889170.000,820875.000,635625.000,150.651,0.733,0.253,0.547,6.106,7.330,2.530,5.470
AI Trip Planner,Productivity,Life Assistant,https://buildai.space,"The website provides a platform for users to create their own AI-powered web apps. There is no need for users to have any technical skills in order to create their own app. All that is required is for users to describe what they want their app to do, and the platform will generate the app for them. Users can then customize the app as they wish, and test it out with an input to see the results. Once they are satisfied with the app, they can share it with others via a link, or embed it on their own website.",889170.000,820875.000,635625.000,150.651,0.733,0.253,0.547,6.106,7.330,2.530,5.470
Listnr,Productivity,Text To Speech,https://listnr.tech,"ai voice generator with over 900+ voiceovers in 142+ languages, create realistic ai voice overs in seconds. export in mp3 or wav format. get started for free!",139118.000,173436.000,191258.000,157.062,0.614,0.770,0.564,6.096,6.140,7.700,5.640
Glasp,Content Creation,General Writing,https://glasp.co,"glasp is a social web highlighter that people can highlight and organize quotes and thoughts from the web, and access other like-minded people’s learning.",1569876.000,1276003.000,1239826.000,110.362,0.806,0.311,0.434,6.077,8.060,3.110,4.340
StoryWizard,Content Creation,Story Teller,https://storywizard.ai,The website provides a service that uses AI to generate children's stories. It asks the user a series of questions in order to personalize the story. It also provides tools for educators to create engaging and interactive assignments for their students.,27271.000,42741.000,42076.000,287.116,0.398,0.824,0.811,6.058,3.980,8.240,8.110
